indicator,value_type,self,description,Indicator Code,type
Cash surplus/deficit (% of GDP),percent,Cash surplus/deficit ,% of GDP,GC.BAL.CASH.GD.ZS,Public Sector
"Central government debt, total (% of GDP)",percent,"Central government debt, total ",% of GDP,GC.DOD.TOTL.GD.ZS,Public Sector
Military expenditure (% of GDP),percent,Military expenditure ,% of GDP,MS.MIL.XPND.GD.ZS,Public Sector
"Revenue, excluding grants (% of GDP)",percent,"Revenue, excluding grants ",% of GDP,GC.REV.XGRT.GD.ZS,Public Sector
"Patent applications, residents",number,"Patent applications, residents",,IP.PAT.RESD,Science & Technology
"Trademark applications, total",number,"Trademark applications, total",,IP.TMK.TOTL,Science & Technology
Research and development expenditure (% of GDP),percent,Research and development expenditure ,% of GDP,GB.XPD.RSDV.GD.ZS,Science & Technology
High-technology exports (current US$),dollar,High-technology exports ,current US$,TX.VAL.TECH.CD,Science & Technology
Employment in agriculture (% of total employment),percent,Employment in agriculture ,% of total employment,SL.AGR.EMPL.ZS,Social Protection & Labor
GDP per person employed (constant 1990 PPP $),dollar,GDP per person employed ,constant 1990 PPP $,SL.GDP.PCAP.EM.KD,Social Protection & Labor
"Labor force participation rate, total (% of total population ages 15+)",percent,"Labor force participation rate, total ",% of total population ages 15+,,Social Protection & Labor
Access to electricity (% of population),percent,Access to electricity ,% of population,EG.ELC.ACCS.ZS,Climate Change
CO2 emissions (metric tons per capita),metric tons,CO2 emissions ,metric tons per capita,EN.ATM.CO2E.PC,Climate Change
Land area where elevation is below 5 meters (% of total land area),percent,Land area where elevation is below 5 meters ,% of total land area,AG.LND.EL5M.ZS,Climate Change
Forest area (% of land area),percent,Forest area ,% of land area,AG.LND.FRST.ZS,Climate Change
Imports of goods and services (% of GDP),percent,Imports of goods and services ,% of GDP,NE.IMP.GNFS.ZS,Trade
Exports of goods and services (% of GDP),percent,Exports of goods and services ,% of GDP,NE.EXP.GNFS.ZS,Trade
Merchandise trade (% of GDP),percent,Merchandise trade ,% of GDP,TG.VAL.TOTL.GD.ZS,Trade
High-technology exports (% of manufactured exports),percent,High-technology exports ,% of manufactured exports,TX.VAL.TECH.MF.ZS,Trade
"Energy imports, net (% of energy use)",percent,"Energy imports, net ",% of energy use,EG.IMP.CONS.ZS,Trade
Urban population (% of total),percent,Urban population ,% of total,SP.URB.TOTL.IN.ZS,Urban Development
Poverty gap at urban poverty line (%),percent,Poverty gap at urban poverty line ,%,SI.POV.URGP,Urban Development
Population in the largest city (% of urban population),percent,Population in the largest city ,% of urban population,EN.URB.LCTY.UR.ZS,Urban Development
Improved water source (% of population with access),percent,Improved water source ,% of population with access,SH.H2O.SAFE.ZS,Urban Development
"School enrollment, primary (% gross)",percent,"School enrollment, primary ",% gross,SE.PRM.ENRR,Education
"Children out of school, primary",percent,"Children out of school, primary",,SE.PRM.UNER,Education
"Literacy rate, adult total (% of people ages 15 and above)",percent,"Literacy rate, adult total ",% of people ages 15 and above,SE.ADT.LITR.ZS,Education
Trained teachers in primary education (% of total teachers),percent,Trained teachers in primary education ,% of total teachers,SE.PRM.TCAQ.ZS,Education
"Primary completion rate, total (% of relevant age group)",percent,"Primary completion rate, total ",% of relevant age group,SE.PRM.CMPT.ZS,Education
Improved sanitation facilities (% of population with access),percent,Improved sanitation facilities ,% of population with access,SH.STA.ACSN,Aid Effectiveness
Net migration,percent,Net migration,,SM.POP.NETM,Aid Effectiveness
"Mortality rate, under-5 (per 1,000 live births)",number,"Mortality rate, under-5 ","per 1,000 live births",SH.DYN.MORT,Aid Effectiveness
Net official development assistance received (current US$),dollar,Net official development assistance received ,current US$,DT.ODA.ODAT.CD,Aid Effectiveness
Mobile cellular subscriptions (per 100 people),number,Mobile cellular subscriptions ,per 100 people,IT.CEL.SETS.P2,Aid Effectiveness
